Experiment ID,week_cutoff,pipeline_id,model_group,model,feature_set,evaluation_method,threshold,seed,Hyperparameters changed?,Hyperparameter notes,Metrics computed,Notes,accuracy_mean,precision_mean,recall_mean,f1_mean,auc_mean
EXP_001,2,B1_LogisticRegression,Task 4 baseline,B1_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,No major tuning,Mostly default Logistic Regression; max_iter and random_state set for convergence/reproducibility.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6846,0.6866,0.6107,0.6464,0.7529
EXP_002,2,B2_L1_Regularised_LogisticRegression,Task 4 baseline,B2_L1_Regularised_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,L1 penalty and liblinear solver used.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6843,0.6863,0.6101,0.6459,0.7529
EXP_003,2,B3_SGD_Logistic,Task 4 baseline,B3_SGD_Logistic,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,"SGD logistic model uses log_loss, max_iter, tolerance, and random_state.","Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6775,0.6848,0.5997,0.6322,0.7485
EXP_004,2,B4_KNN,Task 4 baseline,B4_KNN,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,KNN uses n_neighbors=15.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6727,0.6587,0.6362,0.6472,0.734
EXP_005,2,B5_GaussianNB,Task 4 baseline,B5_GaussianNB,Task 3 processed features,5-fold stratified CV,0.5,42,No major tuning,GaussianNB used with default settings.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.619,0.7123,0.3239,0.4451,0.6997
EXP_006,2,B6_Bagging_LogisticRegression,Task 4 baseline,B6_Bagging_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Bagging ensemble uses Logistic Regression base estimator and n_estimators=10.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6846,0.6868,0.6101,0.6462,0.7528
EXP_007,4,B1_LogisticRegression,Task 4 baseline,B1_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,No major tuning,Mostly default Logistic Regression; max_iter and random_state set for convergence/reproducibility.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6996,0.7004,0.6355,0.6664,0.7724
EXP_008,4,B2_L1_Regularised_LogisticRegression,Task 4 baseline,B2_L1_Regularised_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,L1 penalty and liblinear solver used.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6997,0.7005,0.6356,0.6665,0.7724
EXP_009,4,B3_SGD_Logistic,Task 4 baseline,B3_SGD_Logistic,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,"SGD logistic model uses log_loss, max_iter, tolerance, and random_state.","Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6978,0.6787,0.6859,0.6811,0.7686
EXP_010,4,B4_KNN,Task 4 baseline,B4_KNN,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,KNN uses n_neighbors=15.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.686,0.6688,0.6636,0.6662,0.7534
EXP_011,4,B5_GaussianNB,Task 4 baseline,B5_GaussianNB,Task 3 processed features,5-fold stratified CV,0.5,42,No major tuning,GaussianNB used with default settings.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6317,0.7166,0.3634,0.4821,0.7103
EXP_012,4,B6_Bagging_LogisticRegression,Task 4 baseline,B6_Bagging_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,Bagging ensemble uses Logistic Regression base estimator and n_estimators=10.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6993,0.6999,0.6356,0.6662,0.7723
EXP_013,6,B1_LogisticRegression,Task 4 baseline,B1_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,No major tuning,Mostly default Logistic Regression; max_iter and random_state set for convergence/reproducibility.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.7118,0.7118,0.6546,0.682,0.7887
EXP_014,6,B2_L1_Regularised_LogisticRegression,Task 4 baseline,B2_L1_Regularised_LogisticRegression,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,L1 penalty and liblinear solver used.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.7119,0.7119,0.6545,0.682,0.7887
EXP_015,6,B3_SGD_Logistic,Task 4 baseline,B3_SGD_Logistic,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,"SGD logistic model uses log_loss, max_iter, tolerance, and random_state.","Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.7129,0.688,0.7175,0.7022,0.7832
EXP_016,6,B4_KNN,Task 4 baseline,B4_KNN,Task 3 processed features,5-fold stratified CV,0.5,42,Yes,KNN uses n_neighbors=15.,"Accuracy, Precision, Recall, F1, AUC",Task 4 baseline family re-evaluated using 5-fold stratified CV.,0.6998,0.6825,0.681,0.6817,0.7678
